;id;operator
1019;1088750855;
1020;1094601314;
1021;1103883235;
1022;1103883300;
1023;1106092642;
1024;1115940413;Wuest
1025;1120204918;LGG
1026;1127562692;Coop Mineraloel AG
1027;1127936732;
1028;1128241825;
1029;1135616539;Tamoil
1030;1139545893;
1031;1141268738;
1032;1143341483;
1033;1143341486;shell
1034;1143341489;
1035;1148678388;
1036;1149570590;
1037;1152714854;
1038;1154421295;Coop Mineraloel AG
1039;1158234087;
1040;1158236623;
1041;1164681118;
1042;1167954322;
1043;1167954379;ECSA Ernergy SA
1044;1168557364;
1045;1168557417;
1046;1169057575;
1047;1171138347;
1048;1178015381;
1049;1187844560;Shell et Migrol Service
1050;1191627169;
1051;1191627198;Shell
1052;1207862061;
1053;1209090865;
1054;1210602994;LANDI Zimmerberg
1055;1210603014;H. P. Styger
1056;1228109353;
1057;1237726505;
1058;1238265211;
1059;1240203805;
1060;1244934614;
1061;1247814011;
1062;1258330247;
1063;1260264402;
1064;1262550302;Ruedi Rüssel
1065;1263586134;
1066;1264969070;
1067;1268685995;Motorex
1068;1277433290;BP
1069;1277577619;OIL! Tankstellen AG
1070;1279673078;Mini Prix
1071;1283828394;Shell
1072;1291755365;
1073;1298160841;Station-Shop de la Côte
1074;1298163196;
1075;1298163197;
1076;1298163198;
1077;1298314336;
1078;1299328892;
1079;1301131017;
1080;1305217859;
1081;1305217876;
1082;1309304726;
1083;1322341728;Coop
1084;1323307013;
1085;1323716729;
1086;1325892702;Shell
1087;1332641756;
1088;1332817871;
1089;1334897806;
1090;1335581379;
1091;1336568359;
1092;1337143769;
1093;1337181865;
1094;1337471849;
1095;1338801659;Migrol
1096;1339704369;Migrol
1097;1340200200;migrol
1098;1341487957;
1099;1341959506;Tamoil
1100;1341959530;Piccadilly
1101;1342602152;
1102;1345283575;
1103;1346035179;
1104;1348212458;
1105;1349293145;ewl energie wasser luzern
1106;1350936246;
1107;1358046462;Volg
1108;1360531820;
1109;1361319683;
1110;1361319687;
1111;1363040120;Migrol
1112;1363477917;Voegtlin-Meyer AG
1113;1363673570;Shell Schweiz
1114;1366349899;
1115;1366703127;Landi ZOLA
1116;1371793708;
1117;1374825644;
1118;1375339404;
1119;1377911375;
1120;1384275456;Oeltrans AG
1121;1384810775;Föry Barmettler AG
1122;1389429452;
1123;1392528909;
1124;1394802434;
1125;1395851528;
1126;1406942836;BP
1127;1412124748;
